generic_name,status,therapeutic_category,company_name,year,month,shortage_reason,production_drop_3m,import_dependency,risk_prediction,risk_label
Dextrose Monohydrate 5% Injection,Current,Endocrinology/Metabolism,Otsuka ICU Medical LLC,2022,2,Unknown,17.133223753452786,31.26440142630907,0,Not At Risk
Dopamine Hydrochloride Injection,Current,Cardiovascular,"Hospira, Inc., a Pfizer Company",2017,11,Unknown,25.57489645869635,40.94044213157131,0,Not At Risk
Levothyroxine Sodium Tablet,To Be Discontinued,Endocrinology/Metabolism,"EMD Serono, Inc.",2025,7,Unknown,50.569037252145975,31.69561738015932,1,At Risk
Lisdexamfetamine Dimesylate Capsule,Current,Psychiatry,Apotex Corp.,2023,11,Unknown,28.821981360398063,0.0,0,Not At Risk
Peritoneal Dialysis Solution,To Be Discontinued,Renal,Fresenius Medical Care North America,2026,3,Unknown,25.928730963122977,64.7354563315169,1,At Risk
Quinapril Hydrochloride Tablet,To Be Discontinued,Cardiovascular,Pfizer Inc.,2025,10,Unknown,0.0,73.04725090813189,1,At Risk
Verapamil Hydrochloride Injection,To Be Discontinued,Cardiovascular,Pfizer Inc.,2025,11,Unknown,39.92507132054442,59.33348380946913,1,At Risk
Dextrose Monohydrate 10% Injection,Current,Endocrinology/Metabolism,Otsuka ICU Medical LLC,2022,3,Unknown,37.909683622821504,19.970915250654038,0,Not At Risk
"Methylphenidate Hydrochloride Tablet, Extended Release",Current,Psychiatry,SpecGx LLC,2023,7,Delay in shipping of the drug,68.2650944661092,40.5671862531546,0,Not At Risk
Benztropine Mesylate Injection,To Be Discontinued,Neurology,"Fresenius Kabi USA, LLC",2026,1,Unknown,18.844435300939985,44.85653106495192,1,At Risk
"Bupivacaine Hydrochloride, Epinephrine Bitartrate Injection",Current,Anesthesia,"Fresenius Kabi USA, LLC",2018,2,Unknown,29.38300655327878,58.17347657036203,0,Not At Risk
Dexamethasone Sodium Phosphate Injection,Current,Dermatology,"Somerset Therapeutics, LLC",2019,2,Unknown,29.987673674215102,59.70349075179778,0,Not At Risk
Lisdexamfetamine Dimesylate Capsule,Current,Psychiatry,"Teva Pharmaceuticals USA, Inc.",2023,7,Unknown,56.54906559526949,28.84817642687309,0,Not At Risk
Lisdexamfetamine Dimesylate Capsule,Current,Psychiatry,"Hikma Pharmaceuticals USA, Inc.",2023,7,Shortage of an active ingredient,23.09408935226096,46.80390224109833,0,Not At Risk
Mirikizumab-mrkz Injection,To Be Discontinued,Gastroenterology,Eli Lilly and Co.,2025,12,Unknown,30.580430515406785,55.060168901535306,1,At Risk
Omeprazole Delayed Release Capsule,To Be Discontinued,Gastroenterology,Sandoz Inc.,2025,10,Unknown,37.15793019433079,77.02809108722886,1,At Risk
Sodium Bicarbonate Injection,Current,Endocrinology/Metabolism,"Exela Pharma Sciences, LLC",2017,7,Unknown,28.732182463127163,60.499143876143904,0,Not At Risk
Carboplatin Injection,Current,Oncology,Gland Pharma Limited,2023,4,Discontinuation of the manufacture of the drug,16.071327708989436,62.359247122261415,0,Not At Risk
Amino Acid Injection,Current,Gastroenterology,Otsuka ICU Medical LLC,2020,12,Unknown,28.88179985796615,46.84418581444594,0,Not At Risk
Haloperidol Decanoate Injection,To Be Discontinued,Psychiatry,Janssen Pharmaceuticals,2025,4,Unknown,46.47263499719544,76.03010119447708,1,At Risk
Albuterol Sulfate Solution,Current,Pulmonary/Allergy,Nephron Pharmaceuticals Corporation,2022,10,Unknown,4.469694011778795,54.01478151110894,0,Not At Risk
"Cefotaxime Sodium Powder, for Solution",Current,Anti-Infective,"Hikma Pharmaceuticals USA, Inc.",2015,2,Demand increase for the drug,27.65939348293752,26.05606597618145,0,Not At Risk
Dextrose Monohydrate 50% Injection,To Be Discontinued,Endocrinology/Metabolism,"Hospira, Inc., a Pfizer Company",2025,11,Unknown,10.997583701216536,75.87413934275419,1,At Risk
Ivabradine Solution,To Be Discontinued,Cardiovascular,Amgen Inc.,2026,3,Unknown,48.90093257849685,60.35387199585861,0,Not At Risk
Levothyroxine Sodium Tablet,To Be Discontinued,Endocrinology/Metabolism,"EMD Serono, Inc.",2025,7,Unknown,0.0,35.25303153517339,1,At Risk
Methylprednisolone Acetate Injection,Current,Rheumatology,Eugia US LLC,2021,12,Demand increase for the drug,13.821563054568234,34.451154717216646,1,At Risk
Prazosin Hydrochloride Capsule,To Be Discontinued,Cardiovascular,Pfizer Inc.,2023,4,Unknown,32.54423750129042,51.52466199309676,1,At Risk
Atropine Sulfate Injection,To Be Discontinued,Anesthesia,"Hospira, Inc., a Pfizer Company",2025,11,Unknown,56.31048058468681,55.19006549588686,0,Not At Risk
Clonazepam Tablet,Current,Neurology,Accord Healthcare Inc.,2023,3,Unknown,23.684994778540243,49.34042984388654,0,Not At Risk
Fluticasone Propionate; Salmeterol Xinafoate Powder,To Be Discontinued,Pulmonary/Allergy,"Teva Pharmaceuticals USA, Inc.",2025,6,Unknown,13.896009466136032,51.84879081574347,1,At Risk
Hydromorphone Hydrochloride Injection,Current,Analgesia/Addiction,"Teva Pharmaceuticals USA, Inc.",2017,11,Other,62.6231413888118,82.39906224068037,0,Not At Risk
Lisdexamfetamine Dimesylate Capsule,Current,Psychiatry,"Elite Laboratories, Inc.",2023,7,Shortage of an active ingredient,0.0,68.57394934916749,0,Not At Risk
Lisdexamfetamine Dimesylate Capsule,Current,Psychiatry,Alvogen,2023,7,Unknown,0.0,49.19398300783054,1,At Risk
Propranolol Hydrochloride Injection,Current,Cardiovascular,"Fresenius Kabi USA, LLC",2023,10,Unknown,33.800289001066645,65.70883277688463,1,At Risk
"Bupivacaine Hydrochloride, Epinephrine Bitartrate Injection",Current,Anesthesia,"Hospira, Inc., a Pfizer Company",2018,2,Other,14.958915512947776,22.28447412239413,0,Not At Risk
Dexmedetomidine Hydrochloride Injection,Current,Anesthesia,Amneal Pharmaceuticals,2020,4,Unknown,4.575343657385737,53.7543950988298,1,At Risk
Dextrose Monohydrate 10% Injection,Current,Endocrinology/Metabolism,"Fresenius Kabi USA, LLC",2022,3,Unknown,39.167128945987066,84.80473969412841,0,Not At Risk
Midazolam Hydrochloride Injection,Current,Anesthesia,"Hikma Pharmaceuticals USA, Inc.",2020,4,Unknown,29.876014275423977,40.20299030136778,0,Not At Risk
Plerixafor Injection,To Be Discontinued,Hematology,"Fresenius Kabi USA, LLC",2026,3,Unknown,13.718427385265432,26.352053570380136,1,At Risk
Clonazepam Tablet,Current,Neurology,Rubicon Research Private Limited,2023,3,Unknown,0.0,30.654044450952664,0,Not At Risk
Dexmedetomidine Hydrochloride Injection,Current,Anesthesia,Pfizer Inc.,2020,4,Unknown,42.449146565602895,21.02807317846745,0,Not At Risk
Lidocaine Hydrochloride Injection,Current,Anesthesia,"Hospira, Inc., a Pfizer Company",2012,2,Unknown,38.00402355917322,27.73523802119053,0,Not At Risk
Methylprednisolone Acetate Injection,Current,Rheumatology,Amneal Pharmaceuticals,2021,12,Unknown,23.01648272441234,36.84882183101936,0,Not At Risk
Peritoneal Dialysis Solution,To Be Discontinued,Renal,Fresenius Medical Care North America,2026,3,Unknown,61.93273992095332,14.077525578069874,0,Not At Risk
"Potassium Chloride Capsule, Extended Release",To Be Discontinued,Endocrinology/Metabolism,"Teva Pharmaceuticals USA, Inc.",2025,5,Unknown,3.598304673476949,45.343603346891264,1,At Risk
Clindamycin Phosphate Injection,Current,Anti-Infective,Sandoz Inc.,2023,3,Unknown,0.0,64.85009782330624,0,Not At Risk
Furosemide Injection,Current,Cardiovascular,Eugia US LLC,2020,4,Unknown,11.161838602375113,25.029364036767756,0,Not At Risk
Amlodipine Besylate; Benazepril Hydrochloride Capsule,To Be Discontinued,Cardiovascular,Novartis Pharmaceuticals Corporation,2025,6,Unknown,24.08827967289004,78.42424632011891,1,At Risk
Levothyroxine Sodium Tablet,To Be Discontinued,Endocrinology/Metabolism,"EMD Serono, Inc.",2025,7,Unknown,29.86678898645384,56.237425947607086,1,At Risk
Pilocarpine Hydrochloride Tablet,To Be Discontinued,Other,"Actavis Pharma, Inc.",2025,9,Unknown,20.175278842873404,67.67277288372927,1,At Risk
Ropivacaine Hydrochloride Injection,Current,Anesthesia,Eugia US LLC,2018,3,Demand increase for the drug,32.04110793028593,30.527639815252986,0,Not At Risk
Cholestyramine Powder,To Be Discontinued,Cardiovascular,"Upsher-Smith Laboratories, LLC",2025,5,Unknown,0.0,63.79955499546554,1,At Risk
Dexamethasone Sodium Phosphate Injection,Current,Dermatology,"Mylan Institutional, a Viatris Company",2019,2,Unknown,53.87529208146519,20.977454191303117,0,Not At Risk
Levothyroxine Sodium Tablet,To Be Discontinued,Endocrinology/Metabolism,"EMD Serono, Inc.",2025,7,Unknown,23.356976432148624,64.58544501840319,1,At Risk
Acetaminophen; Oxycodone Hydrochloride Tablet,To Be Discontinued,Analgesia/Addiction,"Endo Pharmaceuticals, Inc.",2025,11,Unknown,47.34591663176255,48.78046547545769,1,At Risk
Quinapril Hydrochloride Tablet,Current,Cardiovascular,Chartwell Molecular Holdings LLC,2023,1,Unknown,31.854506927554084,57.17152683966524,1,At Risk
Atropine Sulfate Injection,Current,Anesthesia,"Hospira, Inc., a Pfizer Company",2012,1,Unknown,34.13506438307568,19.136918676253263,0,Not At Risk
Azacitidine Injection,Current,Oncology,Bristol Myers Squibb Co.,2020,12,Unknown,36.39534560464408,25.30846346991469,1,At Risk
Epinephrine Injection,To Be Discontinued,Cardiovascular,"Hospira, Inc., a Pfizer Company",2025,11,Unknown,33.954171200346295,58.13902080157447,1,At Risk
Lisdexamfetamine Dimesylate Capsule,Current,Psychiatry,"Mylan Pharmaceuticals Inc., a Viatris Company",2023,7,Unknown,37.85445519735088,24.136343907067584,0,Not At Risk
Lisdexamfetamine Dimesylate Capsule,Current,Psychiatry,"Solco Healthcare US, LLC",2023,7,Shortage of an active ingredient,51.58305060264863,55.19053842618071,0,Not At Risk
Penicillin G Benzathine Injection,Current,Anti-Infective,Pfizer Inc.,2023,4,Other,28.930423394029404,14.922968257874594,1,At Risk
Ketorolac Tromethamine Injection,Current,Analgesia/Addiction,"Hospira, Inc., a Pfizer Company",2018,3,Other,39.18007515177025,63.6598326786667,1,At Risk
Lisdexamfetamine Dimesylate Capsule,Current,Psychiatry,"Hikma Pharmaceuticals USA, Inc.",2023,7,Shortage of an active ingredient,23.205286114255465,17.8844870750928,0,Not At Risk
Morphine Sulfate Injection,Current,Analgesia/Addiction,"Hikma Pharmaceuticals USA, Inc.",2017,11,Demand increase for the drug,53.802344308989454,57.15059862894951,0,Not At Risk
Lisdexamfetamine Dimesylate Capsule,Current,Psychiatry,"Mylan Pharmaceuticals Inc., a Viatris Company",2023,7,Unknown,11.472153958814603,58.76388054021202,0,Not At Risk
Lorazepam Injection,Current,Neurology,"Hikma Pharmaceuticals USA, Inc.",2018,9,Other,61.01880865821632,29.671019994549354,0,Not At Risk
Carboplatin Injection,Current,Oncology,"Hospira, Inc., a Pfizer Company",2023,4,Unknown,24.19684098711313,57.80458447586399,0,Not At Risk
Lasmiditan Succinate Tablet,To Be Discontinued,Neurology,Eli Lilly and Co.,2025,11,Unknown,0.0,50.72972979333823,1,At Risk
Lidocaine Hydrochloride Injection,Current,Anesthesia,"Spectra Medical Devices, LLC",2018,6,Unknown,27.562088298215784,33.14547916375976,0,Not At Risk
Dopamine Hydrochloride Injection,Current,Cardiovascular,Baxter Healthcare,2017,11,Unknown,11.378966850502383,22.811796950323423,0,Not At Risk
Lidocaine Hydrochloride Injection,Current,Anesthesia,"Hospira, Inc., a Pfizer Company",2012,2,Unknown,41.81287097977448,1.822234783203264,0,Not At Risk
Nebivolol Hydrochloride Tablet,To Be Discontinued,Cardiovascular,Torrent Pharmaceuticals Limited,2026,3,Unknown,11.947520413952182,52.692301040593264,1,At Risk
Phenobarbital Tablet,To Be Discontinued,Analgesia/Addiction,"Endo Pharmaceuticals, Inc.",2025,10,Unknown,16.076331335704406,10.574339030034784,0,Not At Risk
Bupivacaine Hydrochloride Injection,Current,Anesthesia,Eugia US LLC,2018,2,Demand increase for the drug,0.0,47.09757238770878,1,At Risk
Clonazepam Tablet,Current,Neurology,Rubicon Research Private Limited,2023,3,Unknown,15.953873615018466,39.20413924619052,1,At Risk
Everolimus Tablet,To Be Discontinued,Transplant,"Mylan Pharmaceuticals Inc., a Viatris Company",2025,11,Unknown,0.0,59.9411410596403,0,Not At Risk
Levothyroxine Sodium Tablet,To Be Discontinued,Endocrinology/Metabolism,"EMD Serono, Inc.",2025,7,Unknown,0.0,38.354999011222986,1,At Risk
Lidocaine Hydrochloride Injection,Current,Anesthesia,"Hospira, Inc., a Pfizer Company",2012,2,Unknown,40.20829312288595,37.75214870036399,0,Not At Risk
Lidocaine Hydrochloride Injection,Current,Anesthesia,"Hospira, Inc., a Pfizer Company",2012,2,Other,40.716003173016645,61.10115549434251,0,Not At Risk
Oxybutynin Chloride Tablet,To Be Discontinued,Renal,"Upsher-Smith Laboratories, LLC",2025,5,Unknown,33.50915123569929,52.371276639850585,1,At Risk
Levothyroxine Sodium Tablet,To Be Discontinued,Endocrinology/Metabolism,"EMD Serono, Inc.",2025,7,Unknown,5.660477137415739,51.95543105802112,1,At Risk
Nebivolol Hydrochloride Tablet,To Be Discontinued,Cardiovascular,Torrent Pharmaceuticals Limited,2026,3,Unknown,24.0457728771604,55.32388697578757,1,At Risk
Dobutamine Hydrochloride Injection,Current,Cardiovascular,Baxter Healthcare,2017,11,Unknown,24.927949218188637,11.21741328944367,0,Not At Risk
Atazanavir Sulfate Oral Powder,To Be Discontinued,Antiviral,Bristol Myers Squibb Co.,2025,6,Unknown,1.8327062161491448,61.6493509597136,1,At Risk
Lidocaine Hydrochloride Injection,Current,Anesthesia,"Hospira, Inc., a Pfizer Company",2012,2,Unknown,55.06796603534301,58.47431346829925,0,Not At Risk
Naltrexone Hydrochloride Tablet,Resolved,Analgesia/Addiction,Accord Healthcare Inc.,2024,2,Unknown,42.54724581151343,22.63297117131706,0,Not At Risk
Remifentanil Hydrochloride Injection,Current,Analgesia/Addiction,"Mylan Institutional, a Viatris Company",2022,6,Unknown,20.58071652340672,39.63022957916757,0,Not At Risk
Dextrose Monohydrate 10% Injection,Current,Endocrinology/Metabolism,Baxter Healthcare,2022,3,Unknown,25.537716779890616,44.135239672192114,1,At Risk
"Lisdexamfetamine Dimesylate Tablet, Chewable",Current,Psychiatry,"Sun Pharmaceutical Industries, Inc.",2023,7,Unknown,29.16765615895105,42.04107074316188,0,Not At Risk
Oxaliplatin Injection,To Be Discontinued,Oncology,Novast Labs,2025,4,Unknown,0.0,52.344919264507766,1,At Risk
Bupivacaine Hydrochloride Injection,Current,Anesthesia,Kindos Pharmaceuticals Co. Ltd.,2018,2,Unknown,20.056452349588064,76.49006920028603,1,At Risk
Lincomycin Hydrochloride Injection,To Be Discontinued,Anti-Infective,Pfizer Inc.,2026,2,Unknown,11.360315040044028,68.79886800880223,1,At Risk
Lisdexamfetamine Dimesylate Capsule,Current,Psychiatry,Rhodes Pharmaceuticals L.P.,2024,1,Unknown,4.967599802101688,16.131177744509063,0,Not At Risk
Quinapril Hydrochloride Tablet,Current,Cardiovascular,"Solco Healthcare US, LLC",2023,1,Shortage of an active ingredient,19.3779941422809,58.685539786733074,0,Not At Risk
Ropivacaine Hydrochloride Injection,Current,Anesthesia,"Somerset Therapeutics, LLC",2018,3,Unknown,60.95373053699045,74.23653302977901,0,Not At Risk
Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil Tablet,To Be Discontinued,Cardiovascular,Torrent Pharma Inc.,2025,6,Unknown,37.8168572253402,53.50978745516246,1,At Risk
Furosemide Injection,Current,Cardiovascular,"Avet Pharmaceuticals, Inc.",2020,4,Unknown,13.576420204344064,69.00156935409127,0,Not At Risk
Meperidine Hydrochloride Injection,Current,Analgesia/Addiction,"Hikma Pharmaceuticals USA, Inc.",2025,5,Shortage of an active ingredient,36.45165562712317,89.26994980541684,0,Not At Risk
Dexamethasone Sodium Phosphate Injection,Current,Dermatology,"Hikma Pharmaceuticals USA, Inc.",2019,2,Unknown,52.98710873172004,67.5216100143536,0,Not At Risk
"Potassium Chloride Tablet, Extended Release",To Be Discontinued,Endocrinology/Metabolism,"Teva Pharmaceuticals USA, Inc.",2025,11,Unknown,43.49267365825538,50.48478910411804,1,At Risk
Baclofen Tablet,To Be Discontinued,Neurology,"Upsher-Smith Laboratories, LLC",2025,4,Unknown,26.19260739840348,67.99194642986458,0,Not At Risk
Bupivacaine Hydrochloride Injection,Current,Anesthesia,"Hospira, Inc., a Pfizer Company",2018,2,Unknown,12.061264445888522,48.1875323281316,0,Not At Risk
Carboplatin Injection,Current,Oncology,Teyro Labs,2023,4,Discontinuation of the manufacture of the drug,38.9644662722718,45.52586695226902,1,At Risk
Sumatriptan Nasal Spray,To Be Discontinued,Neurology,Prasco Laboratories,2025,9,Unknown,32.869707708434994,37.268886814297886,1,At Risk
Methotrexate Sodium Injection,Current,Rheumatology,"Fresenius Kabi USA, LLC",2023,3,Unknown,42.903864400554646,79.39509389430637,0,Not At Risk
Midazolam Hydrochloride Injection,Current,Anesthesia,"Fresenius Kabi USA, LLC",2020,4,Unknown,37.70343603363939,26.99456934927597,0,Not At Risk
Hydromorphone Hydrochloride Injection,Current,Analgesia/Addiction,"Hospira, Inc., a Pfizer Company",2017,10,Other,45.9910543063867,78.71208994291855,0,Not At Risk
Levothyroxine Sodium Tablet,To Be Discontinued,Endocrinology/Metabolism,"EMD Serono, Inc.",2025,7,Unknown,14.29529576878864,55.99701072228817,1,At Risk
Ampicillin Sodium Injection,To Be Discontinued,Anti-Infective,Sandoz Inc.,2025,12,Unknown,51.34788131268651,14.215264154357286,1,At Risk
Pravastatin Sodium Tablet,To Be Discontinued,Cardiovascular,"Teva Pharmaceuticals USA, Inc.",2025,6,Unknown,28.95199209384799,53.08828444581128,1,At Risk
Bleomycin Sulfate Injection,To Be Discontinued,Hematology,"Hospira, Inc., a Pfizer Company",2025,6,Unknown,66.5052174525053,0.0,1,At Risk
Dexmedetomidine Hydrochloride Injection,Current,Anesthesia,Baxter Healthcare,2020,4,Unknown,11.216243638208642,58.76117637028278,0,Not At Risk
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Current,Psychiatry,Granules Pharmaceuticals Inc.,2022,10,Unknown,59.71927606330499,64.47509262575781,0,Not At Risk
Oxaliplatin Injection,To Be Discontinued,Oncology,"Fresenius Kabi USA, LLC",2026,2,Unknown,28.958215669252954,31.96816897565482,0,Not At Risk
Ampicillin Sodium Injection,To Be Discontinued,Anti-Infective,Sandoz Inc.,2025,12,Unknown,11.971639927711031,47.71804931102281,1,At Risk
Phenoxybenzamine Hydrochloride Capsule,To Be Discontinued,Cardiovascular,Advanz Pharma (US) Corp.,2025,12,Unknown,15.322283318913568,87.9914635425063,0,Not At Risk
Pramlintide Acetate Injection,To Be Discontinued,Endocrinology/Metabolism,AstraZeneca AB,2025,10,Unknown,18.5930538361136,33.873572506237394,1,At Risk
Amino Acid Injection,Current,Gastroenterology,Baxter Healthcare,2020,12,Unknown,33.48331892803833,21.70403308475479,0,Not At Risk
Ketorolac Tromethamine Injection,Current,Analgesia/Addiction,Baxter Healthcare,2018,6,Unknown,35.45670976070999,77.59659485417717,1,At Risk
Morphine Sulfate Injection,Current,Analgesia/Addiction,Piramal Critical Care Inc.,2017,10,Unknown,13.52599992122842,88.17691819167749,0,Not At Risk
Bupivacaine Hydrochloride Injection,Current,Anesthesia,Eugia US LLC,2018,2,Unknown,24.512908154780344,45.08130478065264,0,Not At Risk
Desipramine Hydrochloride Tablet,To Be Discontinued,Psychiatry,"Avet Pharmaceuticals, Inc.",2025,8,Unknown,67.84540717223727,67.25218677898384,0,Not At Risk
Hydromorphone Hydrochloride Injection,Current,Analgesia/Addiction,"Hospira, Inc., a Pfizer Company",2017,11,Other,59.55086340201423,74.51247014167939,0,Not At Risk
Midazolam Hydrochloride Injection,Current,Anesthesia,"Fresenius Kabi USA, LLC",2020,4,Delay in shipping of the drug,33.726473393480646,28.66534688415555,1,At Risk
Bupivacaine Hydrochloride Injection,Current,Anesthesia,Eugia US LLC,2018,2,Unknown,25.76006956336401,34.3232716219069,0,Not At Risk
Furosemide Injection,Current,Cardiovascular,"Hospira, Inc., a Pfizer Company",2020,4,Other,27.400626534365227,72.07923928940417,0,Not At Risk
Ketorolac Tromethamine Injection,Current,Analgesia/Addiction,"Fresenius Kabi USA, LLC",2018,3,Delay in shipping of the drug,37.27035945460833,82.07031413158721,0,Not At Risk
Carboplatin Injection,Current,Oncology,"Hospira, Inc., a Pfizer Company",2023,4,Unknown,4.54414869603189,57.38337892383581,1,At Risk
Fentanyl Citrate Injection,Current,Analgesia/Addiction,"Hikma Pharmaceuticals USA, Inc.",2023,12,Demand increase for the drug,19.852469251533098,25.64408422295481,0,Not At Risk
Morphine Sulfate Injection,Current,Analgesia/Addiction,"Hikma Pharmaceuticals USA, Inc.",2017,11,Unknown,0.0,88.71534445738772,0,Not At Risk
Ampicillin Sodium Injection,To Be Discontinued,Anti-Infective,Sandoz Inc.,2025,12,Unknown,32.98446245210559,33.31864024813678,1,At Risk
Atropine Sulfate Injection,Current,Anesthesia,"Medefil, Inc.",2012,1,Unknown,37.94391879405482,37.626968814228064,0,Not At Risk
Fentanyl Citrate Injection,Current,Analgesia/Addiction,"Hospira, Inc., a Pfizer Company",2012,1,Other,15.33627075401252,52.53143235877168,0,Not At Risk
Ketorolac Tromethamine Injection,Current,Analgesia/Addiction,Alembic Pharmaceuticals,2018,3,Unknown,56.479735265800656,79.19152925572503,0,Not At Risk
Lisdexamfetamine Dimesylate Capsule,Current,Psychiatry,"Sun Pharmaceutical Industries, Inc.",2023,7,Unknown,0.484686739953176,63.78747148414893,0,Not At Risk
Sterile Water Irrigant,Current,Gastroenterology,Otsuka ICU Medical LLC,2023,4,Discontinuation of the manufacture of the drug,0.0,54.12704100796203,0,Not At Risk
Bumetanide Tablet,To Be Discontinued,Cardiovascular,"Upsher-Smith Laboratories, LLC",2025,5,Unknown,29.48903637119944,55.19234766259834,1,At Risk
Dopamine Hydrochloride Injection,To Be Discontinued,Cardiovascular,"Hospira, Inc., a Pfizer Company",2025,8,Unknown,45.94196605224309,45.957322710156255,0,Not At Risk
Elbasvir; Grazoprevir Tablet,To Be Discontinued,Antiviral,Merck Sharp & Dohme LLC,2025,10,Unknown,58.67855382915737,57.27906931940714,1,At Risk
Lasmiditan Succinate Tablet,To Be Discontinued,Neurology,Eli Lilly and Co.,2025,11,Unknown,15.8223147426212,0.0,0,Not At Risk
Lisdexamfetamine Dimesylate Capsule,Current,Psychiatry,Rhodes Pharmaceuticals L.P.,2023,7,Unknown,46.57361666862592,38.47463590046444,0,Not At Risk
Lisdexamfetamine Dimesylate Capsule,Current,Psychiatry,"Lannett Company, Inc.",2023,9,Unknown,24.229830609985857,50.30908256816918,0,Not At Risk
Methotrexate Sodium Injection,Current,Rheumatology,"Hospira, Inc., a Pfizer Company",2023,3,Unknown,21.54745400118361,19.677690160370844,0,Not At Risk
Metronidazole Injection,Current,Anti-Infective,InfoRLife SA,2022,1,Other,42.67319874973344,53.49911299185432,0,Not At Risk
Amantadine Hydrochloride Tablet,To Be Discontinued,Antiviral,"Upsher-Smith Laboratories, LLC",2025,7,Unknown,38.0464575682684,40.50163313830532,1,At Risk
Celecoxib Capsule,To Be Discontinued,Analgesia/Addiction,"Teva Pharmaceuticals USA, Inc.",2025,8,Unknown,0.0,83.62046536294078,1,At Risk
Cromolyn Sodium Concentrate,Current,Pulmonary/Allergy,"Mylan Specialty, a Viatris Company",2023,11,Unknown,54.53080699451792,79.60643395472684,0,Not At Risk
"Epinephrine Bitartrate, Lidocaine Hydrochloride Injection",Current,Anesthesia,"Fresenius Kabi USA, LLC",2016,10,Unknown,52.60182708294903,34.75227747940042,0,Not At Risk
Ropivacaine Hydrochloride Injection,Current,Anesthesia,InfoRLife SA,2018,3,Unknown,12.488745969809411,41.68157034553271,0,Not At Risk
Sodium Acetate Injection,Current,Endocrinology/Metabolism,"Hospira, Inc., a Pfizer Company",2016,2,Other,32.91607066874818,43.37315355661536,1,At Risk
Carboplatin Injection,Current,Oncology,Eugia US LLC,2023,4,Unknown,34.88060372565478,35.0634915244883,0,Not At Risk
Dobutamine Hydrochloride Injection,Current,Cardiovascular,Baxter Healthcare,2017,11,Unknown,30.213475316478146,49.29054964861879,0,Not At Risk
Midazolam Hydrochloride Injection,Current,Anesthesia,"Hospira, Inc., a Pfizer Company",2020,4,Unknown,13.993896923091595,28.317794484473016,0,Not At Risk
Sterile Water Injection,Current,Other,"Fresenius Kabi USA, LLC",2021,11,Unknown,11.56753264123897,20.126462631374423,1,At Risk
"Bupivacaine Hydrochloride, Epinephrine Bitartrate Injection",Current,Anesthesia,"Hospira, Inc., a Pfizer Company",2018,2,Unknown,24.48891858017109,58.69964692580591,0,Not At Risk
Clonazepam Tablet,Current,Neurology,Rubicon Research Private Limited,2023,3,Unknown,48.45458038518729,58.84965085287984,0,Not At Risk
Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil Tablet,To Be Discontinued,Cardiovascular,Torrent Pharma Inc.,2025,6,Unknown,35.872003091888644,27.305053287480167,1,At Risk
Hydroxocobalamin Injection,Current,Other,BTG International Inc.,2024,11,Requirements related to complying with good manufacturing practices,17.58771335827788,64.6978194767772,0,Not At Risk
Lactated Ringers Injection,Resolved,Endocrinology/Metabolism,B. Braun Medical Inc.,2024,10,Unknown,40.433974212966895,31.10528995836271,0,Not At Risk
Azithromycin Injection,To Be Discontinued,Anti-Infective,Pfizer Inc.,2026,1,Unknown,0.0,50.56963523683559,1,At Risk
Bumetanide Injection,Current,Cardiovascular,Sagent Pharmaceuticals,2018,1,Demand increase for the drug,47.97531400744207,63.04756827747403,0,Not At Risk
Hydromorphone Hydrochloride Injection,Current,Analgesia/Addiction,"Fresenius Kabi USA, LLC",2017,11,Other,0.0,44.26052357651832,0,Not At Risk
Pravastatin Sodium Tablet,To Be Discontinued,Cardiovascular,"Teva Pharmaceuticals USA, Inc.",2025,6,Unknown,17.751181171937358,55.00430006710496,1,At Risk
"Epinephrine Bitartrate, Lidocaine Hydrochloride Injection",Current,Anesthesia,"Hospira, Inc., a Pfizer Company",2012,2,Unknown,2.606602107477123,33.63854783447342,0,Not At Risk
Ezetimibe Tablet,To Be Discontinued,Cardiovascular,"Actavis Pharma, Inc.",2025,6,Unknown,0.0,40.67773516458186,1,At Risk
Lidocaine Hydrochloride Injection,Current,Anesthesia,"Hikma Pharmaceuticals USA, Inc.",2018,6,Unknown,48.21653574757039,40.47109252063251,0,Not At Risk
Lisdexamfetamine Dimesylate Capsule,Current,Psychiatry,"Teva Pharmaceuticals USA, Inc.",2023,7,Other,15.645975973762171,28.575276376114743,0,Not At Risk
Methotrexate Injection,To Be Discontinued,Rheumatology,"Assertio Specialty Pharmaceuticals, LLC",2025,8,Unknown,31.930077634614317,41.1109684114528,1,At Risk
Zileuton Tablet,To Be Discontinued,Pulmonary/Allergy,"Chiesi USA, Inc.",2025,4,Unknown,24.06158842241632,10.930397424997572,1,At Risk
Bupivacaine Hydrochloride Injection,Current,Anesthesia,"Fresenius Kabi USA, LLC",2018,2,Demand increase for the drug,34.54081654446243,34.194617562873695,0,Not At Risk
Calcitriol Capsule,To Be Discontinued,Endocrinology/Metabolism,"Teva Pharmaceuticals USA, Inc.",2025,12,Unknown,26.53643782120511,38.73273914586724,1,At Risk
Carboplatin Injection,Current,Oncology,Gland Pharma Limited,2023,4,Demand increase for the drug,0.0,39.36404544510164,0,Not At Risk
